Weight,Name,Source,Target
1,Anitta,Anitta,Marília Mendonça
1,Anitta,Anitta,Nile Rodgers
1,Anitta,Anitta,Ozuna
2,Anitta,Anitta,PEDRO SAMPAIO
1,Anitta,Anitta,Pharrell Williams
1,Anitta,Anitta,Rauw Alejandro
1,Anitta,Anitta,Saweetie
1,Anitta,Anitta,Sean Paul
1,Anitta,Anitta,Sebastián Yatra
1,Anitta,Anitta,Sfera Ebbasta
2,Anitta,Anitta,Snoop Dogg
1,Anitta,Anitta,Sofía Reyes
1,Anitta,Anitta,Swae Lee
2,Anitta,Anitta,TINI
1,Anitta,Anitta,Tainy
1,Anitta,Anitta,Tyga
3,Anitta,Anitta,Wesley Safadão
4,Anuel AA,Anuel AA,Arcángel
5,Anuel AA,Anuel AA,Bad Bunny
1,Anuel AA,Anuel AA,Becky G
1,Anuel AA,Anuel AA,Bizarrap
2,Anuel AA,Anuel AA,Black Eyed Peas
1,Anuel AA,Anuel AA,Brray
2,Anuel AA,Anuel AA,Cardi B
2,Anuel AA,Anuel AA,Chencho Corleone
3,Anuel AA,Anuel AA,Chris Jedi
1,Anuel AA,Anuel AA,DaBaby
3,Anuel AA,Anuel AA,Daddy Yankee
1,Anuel AA,Anuel AA,Dalex
1,Anuel AA,Anuel AA,David Guetta
1,Anuel AA,Anuel AA,De La Ghetto
1,Anuel AA,Anuel AA,Don Toliver
1,Anuel AA,Anuel AA,Dímelo Flow
9,Anuel AA,Anuel AA,Farruko
1,Anuel AA,Anuel AA,Future
1,Anuel AA,Anuel AA,Gunna
6,Anuel AA,Anuel AA,J Balvin
4,Anuel AA,Anuel AA,Jhayco
1,Anuel AA,Anuel AA,Juice WRLD
1,Anuel AA,Anuel AA,Justin Quiles
9,Anuel AA,Anuel AA,KAROL G
1,Anuel AA,Anuel AA,Kodak Black
1,Anuel AA,Anuel AA,Lenny Tavárez
1,Anuel AA,Anuel AA,Lil Durk
1,Anuel AA,Anuel AA,Lil Wayne
1,Anuel AA,Anuel AA,Lunay
1,Anuel AA,Anuel AA,Lyanno
2,Anuel AA,Anuel AA,Maluma
1,Anuel AA,Anuel AA,Manuel Turizo
1,Anuel AA,Anuel AA,Maroon 5
1,Anuel AA,Anuel AA,Marshmello
1,Anuel AA,Anuel AA,Mora
1,Anuel AA,Anuel AA,NAV
1,Anuel AA,Anuel AA,Nicki Minaj
1,Anuel AA,Anuel AA,Nio García
27,Anuel AA,Anuel AA,Ozuna
1,Anuel AA,Anuel AA,Quevedo
2,Anuel AA,Anuel AA,Rauw Alejandro
1,Anuel AA,Anuel AA,Rvssian
1,Anuel AA,Anuel AA,Ryan Castro
1,Anuel AA,Anuel AA,Sech
1,Anuel AA,Anuel AA,Shakira
1,Anuel AA,Anuel AA,Snoop Dogg
2,Anuel AA,Anuel AA,Tainy
2,Anuel AA,Anuel AA,Zion & Lennox
7,Anuel AA,Anuel AA,Ñengo Flow
14,Arcángel,Arcángel,Bad Bunny
1,Arcángel,Arcángel,Becky G
1,Arcángel,Arcángel,Beéle
2,Arcángel,Arcángel,Bizarrap
6,Arcángel,Arcángel,Brray
1,Arcángel,Arcángel,Cardi B
2,Arcángel,Arcángel,Chencho Corleone
1,Arcángel,Arcángel,Chris Jedi
15,Arcángel,Arcángel,Daddy Yankee
1,Arcángel,Arcángel,Dalex
5,Arcángel,Arcángel,De La Ghetto
1,Arcángel,Arcángel,Duki
4,Arcángel,Arcángel,Dímelo Flow
22,Arcángel,Arcángel,Farruko
1,Arcángel,Arcángel,Feid
6,Arcángel,Arcángel,J Balvin
3,Arcángel,Arcángel,Jhayco
1,Arcángel,Arcángel,Justin Quiles
1,Arcángel,Arcángel,KAROL G
2,Arcángel,Arcángel,Lenny Tavárez
1,Arcángel,Arcángel,Luar la L
1,Arcángel,Arcángel,Lyanno
4,Arcángel,Arcángel,Maluma
2,Arcángel,Arcángel,Manuel Turizo
3,Arcángel,Arcángel,Mora
2,Arcángel,Arcángel,Nio García
11,Arcángel,Arcángel,Ozuna
1,Arcángel,Arcángel,Quevedo
6,Arcángel,Arcángel,Rauw Alejandro
1,Arcángel,Arcángel,Rvssian
4,Arcángel,Arcángel,Sech
2,Arcángel,Arcángel,Tainy
2,Arcángel,Arcángel,Tony Dize
1,Arcángel,Arcángel,Villano Antillano
6,Arcángel,Arcángel,Zion & Lennox
24,Arcángel,Arcángel,Ñengo Flow
1,Ariana Grande,Ariana Grande,Beyoncé
1,Ariana Grande,Ariana Grande,Billie Eilish
1,Ariana Grande,Ariana Grande,Black Eyed Peas
1,Ariana Grande,Ariana Grande,Bruno Mars
1,Ariana Grande,Ariana Grande,Calvin Harris
1,Ariana Grande,Ariana Grande,Cardi B
3,Ariana Grande,Ariana Grande,Childish Gambino
2,Ariana Grande,Ariana Grande,Demi Lovato
5,Ariana Grande,Ariana Grande,Doja Cat
2,Ariana Grande,Ariana Grande,Dove Cameron
2,Ariana Grande,Ariana Grande,Dua Lipa
1,Ariana Grande,Ariana Grande,Ed Sheeran
1,Ariana Grande,Ariana Grande,Future
2,Ariana Grande,Ariana Grande,Harry Styles
2,Ariana Grande,Ariana Grande,J Balvin
2,Ariana Grande,Ariana Grande,John Legend
4,Ariana Grande,Ariana Grande,Justin Bieber
1,Ariana Grande,Ariana Grande,Katy Perry
5,Ariana Grande,Ariana Grande,Lady Gaga
3,Ariana Grande,Ariana Grande,Lana Del Rey
1,Ariana Grande,Ariana Grande,Lil Wayne
2,Ariana Grande,Ariana Grande,Lizzo
10,Ariana Grande,Ariana Grande,Mac Miller
2,Ariana Grande,Ariana Grande,Megan Thee Stallion
13,Ariana Grande,Ariana Grande,Nicki Minaj
3,Ariana Grande,Ariana Grande,Pharrell Williams
1,Ariana Grande,Ariana Grande,SZA
2,Ariana Grande,Ariana Grande,Sia
1,Ariana Grande,Ariana Grande,Taylor Swift
7,Ariana Grande,Ariana Grande,The Weeknd
1,Ariana Grande,Ariana Grande,Troye Sivan
1,Ariana Grande,Ariana Grande,Young Thug
1,Arijit Singh,Arijit Singh,Lost Frequencies
19,Arijit Singh,Arijit Singh,Pritam
1,Ava Max,Ava Max,Becky Hill
1,Ava Max,Ava Max,David Guetta
2,Ava Max,Ava Max,Jason Derulo
1,Ava Max,Ava Max,Mufasa & Hypeman
1,Ava Max,Ava Max,Nightcrawlers
1,Ava Max,Ava Max,Nile Rodgers
1,Ava Max,Ava Max,Paloma Faith
1,Ava Max,Ava Max,Riton
1,Ava Max,Ava Max,Saweetie
3,Ava Max,Ava Max,Tiësto
1,Avicii,Avicii,Calvin Harris
1,Avicii,Avicii,Coldplay
1,Avicii,Avicii,Daft Punk
1,Avicii,Avicii,David Guetta
1,Avicii,Avicii,Imagine Dragons
1,Avicii,Avicii,Nile Rodgers
1,Avicii,Avicii,The Chainsmokers
1,BEAM,BEAM,Beyoncé
1,BEAM,BEAM,Don Toliver
3,BEAM,BEAM,Justin Bieber
1,BEAM,BEAM,Pusha T
1,BEAM,BEAM,Wizkid
1,BTS,BTS,Charli XCX
1,BTS,BTS,Charlie Puth
3,BTS,BTS,Coldplay
3,BTS,BTS,Halsey
1,BTS,BTS,Jason Derulo
1,BTS,BTS,Juice WRLD
1,BTS,BTS,Jung Kook
1,BTS,BTS,Megan Thee Stallion
1,BTS,BTS,Nicki Minaj
1,BTS,BTS,SUGA
1,BTS,BTS,Sia
2,BTS,BTS,Snoop Dogg
2,BTS,BTS,benny blanco
1,Baby Keem,Baby Keem,Brent Faiyaz
3,Baby Keem,Baby Keem,Don Toliver
1,Baby Keem,Baby Keem,Frank Ocean
2,Baby Keem,Baby Keem,Kanye West
5,Baby Keem,Baby Keem,Kendrick Lamar
1,Baby Keem,Baby Keem,Lil Uzi Vert
2,Baby Keem,Baby Keem,Travis Scott
10,Baby Keem,Baby Keem,Yeat
2,Bad Bunny,Bad Bunny,Becky G
2,Bad Bunny,Bad Bunny,Cardi B
1,Bad Bunny,Bad Bunny,Chencho Corleone
5,Bad Bunny,Bad Bunny,Daddy Yankee
1,Bad Bunny,Bad Bunny,David Guetta
2,Bad Bunny,Bad Bunny,De La Ghetto
2,Bad Bunny,Bad Bunny,Drake
1,Bad Bunny,Bad Bunny,Dua Lipa
1,Bad Bunny,Bad Bunny,Duki
8,Bad Bunny,Bad Bunny,Farruko
1,Bad Bunny,Bad Bunny,Feid
1,Bad Bunny,Bad Bunny,Future
15,Bad Bunny,Bad Bunny,J Balvin
2,Bad Bunny,Bad Bunny,Jhayco
1,Bad Bunny,Bad Bunny,Juhn
1,Bad Bunny,Bad Bunny,Justin Quiles
1,Bad Bunny,Bad Bunny,KAROL G
2,Bad Bunny,Bad Bunny,Luar la L
1,Bad Bunny,Bad Bunny,Lunay
1,Bad Bunny,Bad Bunny,Maluma
2,Bad Bunny,Bad Bunny,Mora
4,Bad Bunny,Bad Bunny,Nicki Minaj
2,Bad Bunny,Bad Bunny,Nio García
3,Bad Bunny,Bad Bunny,Ozuna
1,Bad Bunny,Bad Bunny,ROSALÍA
1,Bad Bunny,Bad Bunny,Rauw Alejandro
3,Bad Bunny,Bad Bunny,Residente
2,Bad Bunny,Bad Bunny,Rvssian
1,Bad Bunny,Bad Bunny,Sech
4,Bad Bunny,Bad Bunny,Tainy
4,Bad Bunny,Bad Bunny,The Weeknd
1,Bad Bunny,Bad Bunny,Tiësto
1,Bad Bunny,Bad Bunny,Tony Dize
4,Bad Bunny,Bad Bunny,Travis Scott
1,Bad Bunny,Bad Bunny,Zion & Lennox
9,Bad Bunny,Bad Bunny,Ñengo Flow
1,Becky G,Becky G,Black Eyed Peas
1,Becky G,Becky G,Brray
1,Becky G,Becky G,Burna Boy
1,Becky G,Becky G,C. Tangana
2,Becky G,Becky G,Daddy Yankee
2,Becky G,Becky G,Dalex
2,Becky G,Becky G,David Guetta
1,Becky G,Becky G,De La Ghetto
2,Becky G,Becky G,Farruko
1,Becky G,Becky G,J Balvin
1,Becky G,Becky G,Juhn
1,Becky G,Becky G,Juicy J
1,Becky G,Becky G,Justin Quiles
1,Becky G,Becky G,KAROL G
1,Becky G,Becky G,Lenny Tavárez
1,Becky G,Becky G,Maluma
1,Becky G,Becky G,María Becerra
1,Becky G,Becky G,Nicki Nicole
1,Becky G,Becky G,OneRepublic
1,Becky G,Becky G,Ozuna
1,Becky G,Becky G,Paulo Londra
1,Becky G,Becky G,Rema
2,Becky G,Becky G,Rvssian
1,Becky G,Becky G,Saweetie
2,Becky G,Becky G,Sean Paul
1,Becky G,Becky G,Sech
1,Becky G,Becky G,Sofía Reyes
1,Becky G,Becky G,TINI
1,Becky G,Becky G,Tainy
2,Becky G,Becky G,Tyga
1,Becky G,Becky G,Wiz Khalifa
1,Becky G,Becky G,Zion & Lennox
1,Becky G,Becky G,j‐hope
1,Becky Hill,Becky Hill,Camila Cabello
4,Becky Hill,Becky Hill,David Guetta
1,Becky Hill,Becky Hill,Ed Sheeran
3,Becky Hill,Becky Hill,Ella Henderson
1,Becky Hill,Becky Hill,Jax Jones
5,Becky Hill,Becky Hill,Joel Corry
1,Becky Hill,Becky Hill,Khalid
1,Becky Hill,Becky Hill,MNEK
1,Becky Hill,Becky Hill,Mufasa & Hypeman
1,Becky Hill,Becky Hill,Nightcrawlers
1,Becky Hill,Becky Hill,Nile Rodgers
1,Becky Hill,Becky Hill,Riton
2,Becky Hill,Becky Hill,Tiësto
1,Bejo,Bejo,Bizarrap
1,Bejo,Bejo,Cruz Cafuné
1,Bejo,Bejo,EL IMA
1,Bejo,Bejo,Juseph
1,Bejo,Bejo,La Pantera
1,Bejo,Bejo,Quevedo
1,Bejo,Bejo,Rels B
1,Beyoncé,Beyoncé,Black Eyed Peas
1,Beyoncé,Beyoncé,Bruno Mars
2,Beyoncé,Beyoncé,Childish Gambino
1,Beyoncé,Beyoncé,Chris Brown
2,Beyoncé,Beyoncé,Coldplay
1,Beyoncé,Beyoncé,Coolio
9,Beyoncé,Beyoncé,DJ Khaled
1,Beyoncé,Beyoncé,David Guetta
5,Beyoncé,Beyoncé,Drake
1,Beyoncé,Beyoncé,Ed Sheeran
4,Beyoncé,Beyoncé,Eminem
1,Beyoncé,Beyoncé,Frank Ocean
1,Beyoncé,Beyoncé,Future
5,Beyoncé,Beyoncé,Ghostface Killah
1,Beyoncé,Beyoncé,Grace Jones
1,Beyoncé,Beyoncé,J Balvin
1,Beyoncé,Beyoncé,J. Cole
3,Beyoncé,Beyoncé,Justin Timberlake
4,Beyoncé,Beyoncé,Kanye West
1,Beyoncé,Beyoncé,Katy Perry
3,Beyoncé,Beyoncé,Kendrick Lamar
1,Beyoncé,Beyoncé,L.V.
8,Beyoncé,Beyoncé,Lady Gaga
1,Beyoncé,Beyoncé,Lil Nas X
8,Beyoncé,Beyoncé,Lil Wayne
1,Beyoncé,Beyoncé,Maroon 5
1,Beyoncé,Beyoncé,Megan Thee Stallion
6,Beyoncé,Beyoncé,Nicki Minaj
2,Beyoncé,Beyoncé,Pharrell Williams
6,Beyoncé,Beyoncé,Sean Paul
12,Beyoncé,Beyoncé,Shakira
1,Beyoncé,Beyoncé,Tems
1,Beyoncé,Beyoncé,The Weeknd
1,Beyoncé,Beyoncé,Travis Scott
1,Beyoncé,Beyoncé,Wizkid
1,Beéle,Beéle,Blessd
1,Beéle,Beéle,Dalex
1,Beéle,Beéle,Danny Ocean
1,Beéle,Beéle,De La Ghetto
1,Beéle,Beéle,Dímelo Flow
1,Beéle,Beéle,Farruko
1,Beéle,Beéle,Feid
1,Beéle,Beéle,Jason Derulo
1,Beéle,Beéle,Lenny Tavárez
1,Beéle,Beéle,Maluma
2,Beéle,Beéle,Manuel Turizo
1,Beéle,Beéle,Rauw Alejandro
1,Beéle,Beéle,Sebastián Yatra
1,Beéle,Beéle,Sofía Reyes
1,Beéle,Beéle,TINI
1,Beéle,Beéle,Zion & Lennox
1,Billie Eilish,Billie Eilish,Demi Lovato
1,Billie Eilish,Billie Eilish,FINNEAS
1,Billie Eilish,Billie Eilish,Justin Bieber
1,Billie Eilish,Billie Eilish,Katy Perry
1,Billie Eilish,Billie Eilish,Khalid
1,Billie Eilish,Billie Eilish,ROSALÍA
8,Bizarrap,Bizarrap,Duki
1,Bizarrap,Bizarrap,Justin Quiles
2,Bizarrap,Bizarrap,L-Gante
1,Bizarrap,Bizarrap,Lit Killah
6,Bizarrap,Bizarrap,Nicki Nicole
1,Bizarrap,Bizarrap,Polimá Westcoast
1,Bizarrap,Bizarrap,Quevedo
2,Bizarrap,Bizarrap,Rauw Alejandro
1,Bizarrap,Bizarrap,Residente
1,Bizarrap,Bizarrap,Shakira
1,Bizarrap,Bizarrap,Tiago PZK
6,Bizarrap,Bizarrap,Trueno
1,Bizarrap,Bizarrap,Villano Antillano
1,Black Eyed Peas,Black Eyed Peas,Bruno Mars
1,Black Eyed Peas,Black Eyed Peas,Calvin Harris
1,Black Eyed Peas,Black Eyed Peas,Chris Brown
2,Black Eyed Peas,Black Eyed Peas,Daddy Yankee
7,Black Eyed Peas,Black Eyed Peas,David Guetta
2,Black Eyed Peas,Black Eyed Peas,J Balvin
1,Black Eyed Peas,Black Eyed Peas,John Legend
4,Black Eyed Peas,Black Eyed Peas,Justin Timberlake
1,Black Eyed Peas,Black Eyed Peas,Lady Gaga
2,Black Eyed Peas,Black Eyed Peas,Lil Wayne
1,Black Eyed Peas,Black Eyed Peas,Maluma
1,Black Eyed Peas,Black Eyed Peas,Maroon 5
3,Black Eyed Peas,Black Eyed Peas,Nicki Minaj
2,Black Eyed Peas,Black Eyed Peas,Ozuna
1,Black Eyed Peas,Black Eyed Peas,Saweetie
5,Black Eyed Peas,Black Eyed Peas,Shakira
2,Black Eyed Peas,Black Eyed Peas,Snoop Dogg
1,Black Eyed Peas,Black Eyed Peas,Tiësto
1,Black Eyed Peas,Black Eyed Peas,Tyga
1,Blessd,Blessd,Brray
1,Blessd,Blessd,Justin Quiles
1,Blessd,Blessd,Lenny Tavárez
1,Blessd,Blessd,Lyanno
1,Blessd,Blessd,Maluma
1,Blessd,Blessd,Manuel Turizo
1,Blessd,Blessd,Ryan Castro
1,Blxst,Blxst,Burna Boy
1,Blxst,Blxst,Chris Brown
1,Blxst,Blxst,Fireboy DML
2,Blxst,Blxst,Kehlani
1,Blxst,Blxst,Kendrick Lamar
1,Blxst,Blxst,Roddy Ricch
1,Blxst,Blxst,Russ
1,Blxst,Blxst,Snoop Dogg
1,Blxst,Blxst,The Game
1,Blxst,Blxst,Tyga
1,Brent Faiyaz,Brent Faiyaz,Don Toliver
2,Brent Faiyaz,Brent Faiyaz,Drake
1,Brent Faiyaz,Brent Faiyaz,Juice WRLD
1,Brent Faiyaz,Brent Faiyaz,Kanye West
1,Brent Faiyaz,Brent Faiyaz,Marshmello
1,Brent Faiyaz,Brent Faiyaz,Tems
1,Bring Me the Horizon,Bring Me the Horizon,Ed Sheeran
1,Bring Me the Horizon,Bring Me the Horizon,Halsey
2,Bring Me the Horizon,Bring Me the Horizon,Lil Uzi Vert
2,Bring Me the Horizon,Bring Me the Horizon,Machine Gun Kelly
1,Bring Me the Horizon,Bring Me the Horizon,blackbear
1,Brray,Brray,C. Tangana
2,Brray,Brray,Chencho Corleone
2,Brray,Brray,Dalex
1,Brray,Brray,De La Ghetto
1,Brray,Brray,Dímelo Flow
1,Brray,Brray,Farruko
